International Bureau,3,2
International Bureau,,1
International Bureau,395,425
International Bureau,1043,1065
International Bureau,28,30
International Bureau,2,1
International Bureau,195,219
International Bureau,86,99
International Bureau,3,3
International Bureau,1,
International Bureau,24,20
International Bureau,29,27
International Bureau,295,269
International Bureau,44,65
International Bureau,1,1
International Bureau,3,1
International Bureau,9,4
International Bureau,19,13
International Bureau,5,12
International Bureau,55,43
International Bureau,142,121
International Bureau,387,402
International Bureau,1,
International Bureau,369,482
International Bureau,4,1
International Bureau,1,
International Bureau,8,18
International Bureau,2,1
International Bureau,,1
International Bureau,3,3
International Bureau,23,22
International Bureau,2,4
International Bureau,226,123
International Bureau,548,521
International Bureau,926,1469
International Bureau,331,315
International Bureau,8,15
International Bureau,2368,2287
International Bureau,5,1
International Bureau,6,8
International Bureau,509,642
International Bureau,2,1
International Bureau,2,
International Bureau,1,
International Bureau,182,111
International Bureau,6,3
International Bureau,1,3
International Bureau,,2
International Bureau,,1
International Bureau,,1
International Bureau,25,13
International Bureau,38,20
International Bureau,163,172
International Bureau,20,21
International Bureau,1,3
International Bureau,2,2
International Bureau,11,9
International Bureau,1,2
International Bureau,1,1
International Bureau,,2
International Bureau,1,2
International Bureau,3,13
International Bureau,11,3
International Bureau,41,46
International Bureau,4,2
International Bureau,6,3
International Bureau,5,4
International Bureau,206,166
International Bureau,19,25
International Bureau,133,137
International Bureau,2,1
International Bureau,8,7
International Bureau,1,2
International Bureau,4,1
International Bureau,111,97
International Bureau,170,150
International Bureau,4,2
International Bureau,11,5
International Bureau,4,4
International Bureau,36,20
International Bureau,98,86
International Bureau,1,1
International Bureau,,1
International Bureau,490,485
International Bureau,470,395
International Bureau,13,15
International Bureau,8,12
International Bureau,1,
International Bureau,5,8
International Bureau,2,
International Bureau,1,
International Bureau,31,50
International Bureau,,1
International Bureau,6,3
International Bureau,8,8
International Bureau,2,1
International Bureau,23,14
International Bureau,3,2
International Bureau,2294,2159
International Bureau,2,1
International Bureau,2,
International Bureau,10,15
International Bureau,158,140
International Bureau,1,2
International Bureau,13506,13693
Iran (Islamic Republic of),,1
Iran (Islamic Republic of),32,37
Iran (Islamic Republic of),32,38
Ireland,12,9
Ireland,12,9
Israel,2,2
Israel,2,3
Israel,1,1
Israel,10,3
Israel,3,3
Israel,,1
Israel,,1
Israel,4,5
Israel,1,1
Israel,1,1
Israel,1491,1365
Israel,1,
Israel,,3
Israel,7,6
Israel,2,
Israel,2,1
Israel,33,20
Israel,1560,1416
Italy,,3
Italy,,1
Italy,3,
Italy,1,
Italy,1,
Italy,485,396
Italy,1,
Italy,1,
Italy,,1
Italy,4,2
Italy,496,403
Japan,4,2
Japan,1,
Japan,1,1
Japan,1,1
Japan,2,
Japan,5,4
Japan,2,1
Japan,21,24
Japan,,2
Japan,,1
Japan,48,40
Japan,6,9
Japan,1,
Japan,48534,48282
Japan,5,3
Japan,1,
Japan,43,40
Japan,76,41
Japan,35,42
Japan,253,226
Japan,1,
Japan,49040,48719
Jordan,17,17
Jordan,,1
Jordan,17,18
Kazakhstan,29,20
Kazakhstan,29,20
Kenya,6,4
Kenya,6,4
Latvia,13,15
Latvia,13,15
Malaysia,1,1
Malaysia,1,
Malaysia,129,142
Malaysia,2,
Malaysia,,1
Malaysia,133,144
Mexico,1,
Mexico,,1
Mexico,112,136
Mexico,,1
Mexico,113,138
Montenegro,1,
Montenegro,1,
Montenegro,2,
Morocco,54,35
Morocco,54,35
Netherlands,1,
Netherlands,4,
Netherlands,,1
Netherlands,2,1
Netherlands,1,
Netherlands,,2
Netherlands,794,774
Netherlands,1,
Netherlands,1,
Netherlands,804,778
New Zealand,1,1
New Zealand,3,
New Zealand,1,
New Zealand,1,
New Zealand,229,177
New Zealand,1,
New Zealand,,2
New Zealand,236,180
North Macedonia,5,1
North Macedonia,5,1
Norway,,3
Norway,2,
Norway,1,
Norway,1,
Norway,,1
Norway,282,316
Norway,2,
Norway,288,320
Oman,10,7
Oman,10,7
Panama,,1
Panama,,1
Peru,1,1
Peru,36,30
Peru,37,31
Philippines,44,27
Philippines,44,27
Poland,1,1
Poland,185,168
Poland,6,1
Poland,192,170
Portugal,,1
Portugal,45,33
Portugal,45,34
Qatar,,1
Qatar,23,24
Qatar,23,25
Republic of Korea,,2
Republic of Korea,2,
Republic of Korea,,3
Republic of Korea,16,7
Republic of Korea,1,1
Republic of Korea,,1
Republic of Korea,,1
Republic of Korea,20471,21870
Republic of Korea,1,
Republic of Korea,15,15
Republic of Korea,5,1
Republic of Korea,14,15
Republic of Korea,20525,21916
Republic of Moldova,3,4
Republic of Moldova,,1
Republic of Moldova,3,5
Romania,17,28
Romania,,1
Romania,17,29
Russian Federation,,4
Russian Federation,,2
Russian Federation,2,
Russian Federation,4,
Russian Federation,12,3
Russian Federation,59,25
Russian Federation,5,1
Russian Federation,5,2
Russian Federation,1,
Russian Federation,2,1
Russian Federation,1,
Russian Federation,7,2
Russian Federation,2,2
Russian Federation,5,4
Russian Federation,8,1
Russian Federation,1,
Russian Federation,932,726
Russian Federation,3,9
Russian Federation,5,3
Russian Federation,3,
Russian Federation,32,25
Russian Federation,1089,810
Saudi Arabia,32,23
Saudi Arabia,32,23
Serbia,17,21
Serbia,17,21
Singapore,7,1
Singapore,1,1
Singapore,5,5
Singapore,,1
Singapore,2,2
Singapore,1,
Singapore,11,9
Singapore,14,6
Singapore,758,906
Singapore,1,2
Singapore,30,16
Singapore,830,949
Slovakia,24,22
Slovakia,24,22
Slovenia,31,41
Slovenia,31,41
South Africa,2,
South Africa,2,
South Africa,1,
South Africa,66,72
South Africa,71,72
Spain,4,
Spain,4,3
Spain,,1
Spain,1,
Spain,1,
Spain,1,
Spain,967,866
Spain,2,
Spain,1,
Spain,,2
Spain,1,
Spain,,1
Spain,1,
Spain,2,3
Spain,2,1
Spain,987,877
Sudan,3,2
Sudan,3,2
Sweden,,1
Sweden,21,18
Sweden,1,
Sweden,1,2
Sweden,,1
Sweden,1,
Sweden,,1
Sweden,1,
Sweden,3,
Sweden,2,
Sweden,2,
Sweden,,1
Sweden,1296,1244
Sweden,1,
Sweden,2,
Sweden,1331,1268
Switzerland,32,44
Switzerland,,1
Switzerland,32,45
Syrian Arab Republic,5,2
Syrian Arab Republic,5,2
Thailand,75,58
Thailand,75,58
Total,204,141
Total,7,3
Total,124,105
Total,3,24
Total,,5
Total,4,9
Total,1,
Total,30,29
Total,1574,1423
Total,1769,1743
Total,5,5
Total,12,4
Total,30,48
Total,2,
Total,1388,1296
Total,47,36
Total,4,7
Total,,1
Total,,1
Total,616,548
Total,4,4
Total,,1
Total,3,
Total,20,14
Total,3,1
Total,2595,2575
Total,,1
Total,5461,5376
Total,,1
Total,166,187
Total,4,4
Total,69575,69995
Total,98,116
Total,5,3
Total,15,12
Total,1,2
Total,57,50
Total,281,248
Total,17270,17515
Total,1556,1498
Total,,1
Total,1,6
Total,7,18
Total,15,6
Total,50,33
Total,54,61
Total,1562,1457
Total,1898,1770
Total,,1
Total,7332,7759
Total,1,4
Total,5854,5741
Total,18,8
Total,2,
Total,,1
Total,91,136
Total,2,1
Total,1,1
Total,38,19
Total,114,138
Total,9,9
Total,908,777
Total,2122,1974
Total,2081,2618
Total,,3
Total,363,354
Total,30,39
Total,3563,3322
Total,5,2
Total,24,25
Total,50277,50355
Total,9,5
Total,2,
Total,1,1
Total,3,
Total,1,4
Total,20731,22024
Total,7,4
Total,31,25
Total,,1
Total,4,8
Total,,1
Total,269,194
Total,39,20
Total,47,38
Total,345,296
Total,39,43
Total,1,3
Total,63,40
Total,20,15
Total,3,4
Total,2,4
Total,1,1
Total,,1
Total,7,4
Total,1,
Total,1,3
Total,46,45
Total,29,21
Total,166,191
Total,135,152
Total,10,4
Total,5,4
Total,4112,4077
Total,721,797
Total,370,322
Total,12,8
Total,12,8
Total,38,32
Total,50,30
Total,1,2
Total,381,368
Total,252,217
Total,1,
Total,27,28
Total,446,400
Total,150125,152037
Total,61046,60266
Total,1222,1234
Total,62001,61291
Total,2141,2070
Total,29,39
Total,23,28
Total,976,755
Total,822,470
Total,2,2
Total,3,3
Total,4444,4476
Total,1667,1772
Total,96,116
Total,39,43
Total,1,
Total,6,8
Total,2,
Total,6,2
Total,147,167
Total,,1
Total,14,7
Total,1740,1771
Total,2,4
Total,1,
Total,131,89
Total,4,2
Total,59406,58716
Total,5,6
Total,3,1
Total,2,1
Total,34,26
Total,2,3
Total,226,214
Total,1,2
Total,277185,277439
Trinidad and Tobago,,2
Trinidad and Tobago,,2
Tunisia,8,3
Tunisia,8,3
Türkiye,1,1
Türkiye,1,
Türkiye,4,
Türkiye,1,3
Türkiye,,1
Türkiye,1,
Türkiye,2,
Türkiye,2,1
Türkiye,3,14
Türkiye,1694,1735
Türkiye,,1
Türkiye,3,3
Türkiye,1712,1759
Ukraine,1,
Ukraine,,1
Ukraine,,1
Ukraine,1,
Ukraine,99,68
Ukraine,2,2
Ukraine,103,72
United Kingdom,4,1
United Kingdom,10,1
United Kingdom,6,2
United Kingdom,2,
United Kingdom,4,
United Kingdom,3,
United Kingdom,,4
United Kingdom,5,1
United Kingdom,6,4
United Kingdom,,1
United Kingdom,,1
United Kingdom,5,6
United Kingdom,3340,3200
United Kingdom,2,6
United Kingdom,1,
United Kingdom,2,1
United Kingdom,1,
United Kingdom,22,9
United Kingdom,1,
United Kingdom,1,
United Kingdom,,1
United Kingdom,14,16
United Kingdom,10,3
United Kingdom,,1
United Kingdom,1,
United Kingdom,14,23
United Kingdom,,2
United Kingdom,1,
United Kingdom,19,18
United Kingdom,2,4
United Kingdom,,2
United Kingdom,54,56
United Kingdom,3530,3363
United States of America,125,90
United States of America,9,1
United States of America,4,2
United States of America,4,1
United States of America,27,23
United States of America,10,9
United States of America,28,24
United States of America,1,1
United States of America,3,3
United States of America,,3
United States of America,208,212
United States of America,183,149
United States of America,9,10
United States of America,345,214
United States of America,,2
United States of America,8,6
United States of America,230,194
United States of America,39,37
United States of America,1,
United States of America,,2
United States of America,2,10
United States of America,69,79
United States of America,140,126
United States of America,,4
United States of America,156,157
United States of America,1,
United States of America,,1
United States of America,67,67
United States of America,67,71
United States of America,21,73
United States of America,6,6
United States of America,14,11
United States of America,434,584
United States of America,3,
United States of America,13,18
United States of America,1,1
United States of America,,1
United States of America,1,2
United States of America,1,
United States of America,2,
United States of America,1,3
United States of America,,1
United States of America,7,2
United States of America,1,
United States of America,,1
United States of America,,1
United States of America,7,5
United States of America,3,5
United States of America,,1
United States of America,1,
United States of America,40,21
United States of America,9,6
United States of America,6,5
United States of America,2,
United States of America,,2
United States of America,1,2
United States of America,3,4
United States of America,1,1
United States of America,683,328
United States of America,1,1
United States of America,46,50
United States of America,57,138
United States of America,3,4
United States of America,3,1
United States of America,4,7
United States of America,1,
United States of America,53336,52456
United States of America,1,3
United States of America,2,1
United States of America,2,3
United States of America,2,1
United States of America,56455,55247
Uzbekistan,1,1
Uzbekistan,1,1
Viet Nam,2,
Viet Nam,23,11
Viet Nam,25,11
