#,Keyword,Search volume
1,cricbuzz,"213,000,000"
2,weather,"189,000,000"
3,facebook,"140,000,000"
4,whatsapp web,"123,000,000"
5,translate,"121,000,000"
6,amazon,"120,000,000"
7,clima,"100,000,000"
8,sarkari result,"90,000,000"
9,walmart,"82,000,000"
10,wordle,"75,000,000"
11,traductor,"74,000,000"
12,flipkart,"72,000,000"
13,tradutor,"71,000,000"
14,google,"69,000,000"
15,instagram,"68,000,000"
16,target,"62,000,000"
17,gmail,"59,000,000"
18,google translate,"56,000,000"
19,home depot,"56,000,000"
20,hava durumu,"56,000,000"
21,bbc news,"55,000,000"
22,ipl,"52,000,000"
23,tiempo,"50,000,000"
24,weather tomorrow,"47,000,000"
25,lottery sambad,"47,000,000"
26,e devlet,"43,000,000"
27,dolar,"43,000,000"
28,starbucks,"43,000,000"
29,instagram login,"41,000,000"
30,costco,"40,000,000"
31,天気,"38,000,000"
32,wp,"38,000,000"
33,clima para amanhã,"38,000,000"
34,ibomma,"38,000,000"
35,แปลภาษา,"37,000,000"
36,flamengo,"36,000,000"
37,gg dịch,"34,000,000"
38,ipl 2022,"35,000,000"
39,cuaca,"34,000,000"
40,dpboss,"34,000,000"
41,fox news,"34,000,000"
42,bild,"33,000,000"
43,google tradutor,"33,000,000"
44,marca,"32,000,000"
45,meteo,"32,000,000"
46,traduttore,"32,000,000"
47,le bon coin,"32,000,000"
48,food near me,"32,000,000"
49,onet,"32,000,000"
50,google dịch,"30,000,000"
51,english to hindi,"29,000,000"
52,el tiempo,"29,000,000"
53,fb,"29,000,000"
54,kalyan chart,"28,000,000"
55,яндекс,"28,000,000"
56,네이버,"28,000,000"
57,mynet,"28,000,000"
58,mcdonalds,"28,000,000"
59,snaptik,"28,000,000"
60,bet365,"27,000,000"
61,سكس,"27,000,000"
62,download video tiktok,"26,000,000"
63,wetter,"26,000,000"
64,nfl,"26,000,000"
65,hotels,"25,000,000"
66,epfo,"25,000,000"
67,restaurant,"25,000,000"
68,ラーメン,"24,000,000"
69,restaurants near me,"24,000,000"
70,as,"23,000,000"
71,บ้านผลบอล,"23,000,000"
72,daily mail,"23,000,000"
73,movierulz,"23,000,000"
74,chick fil a,"23,000,000"
75,유튜브,"23,000,000"
76,ютуб,"23,000,000"
77,banco de venezuela,"22,000,000"
78,amazon prime,"22,000,000"
79,dịch,"22,000,000"
80,tiempo mañana,"22,000,000"
81,ipl live score,"22,000,000"
82,food,"22,000,000"
83,cvs,"21,000,000"
84,dolar kaç tl,"21,000,000"
85,haberler,"21,000,000"
86,corinthians,"21,000,000"
87,patria,"20,000,000"
88,レストラン,"20,000,000"
89,traduction,"20,000,000"
90,libero mail,"20,000,000"
91,lowes,"20,000,000"
92,pogoda,"20,000,000"
93,english to tagalog,"20,000,000"
94,wells fargo,"19,000,000"
95,news,"19,000,000"
96,allegro,"19,000,000"
97,irctc,"19,000,000"
98,thời tiết,"19,000,000"
99,ผลบอลสด,"19,000,000"
100,ind vs sa,"18,000,000"
